"country","prevalence","cases","pop2022"
"Ukraine","6.3000","2800587","43192.1220"
"Estonia","5.9000","75667","1321.9100"
"Australia","5.9000","1318599","26068.7920"
"United States","5.9000","17491047","334805.2690"
"Brazil","5.8000","11548577","215353.5930"
"Portugal","5.7000","578234","10140.5700"
"Greece","5.7000","593136","10316.6370"
"Lithuania","5.6000","169685","2661.7080"
"Finland","5.6000","293921","5554.9600"
"Belarus","5.6000","510764","9432.8000"
"Cuba","5.5000","605879","11305.6520"
"Russia","5.5000","7815714","145805.9470"
"Barbados","5.4000","14586","288.0230"
"Moldova","5.4000","207247","4013.1710"
"New Zealand","5.4000","221338","4898.2030"
"Bahamas","5.2000","19138","400.5160"
"Trinidad and Tobago","5.2000","67614","1406.5850"
"Bulgaria","5.2000","360724","6844.5970"
"Paraguay","5.2000","332628","7305.8430"
"Czech Republic","5.2000","525488","10736.7840"
"Spain","5.2000","2408700","46719.1420"
"Germany","5.2000","2116728","83883.5960"
"Antigua and Barbuda","5.1000","4424","99.5090"
"Malta","5.1000","20049","444.0330"
"Djibouti","5.1000","43909","1016.0970"
"Cyprus","5.1000","42662","1223.3870"
"Slovenia","5.1000","99864","2078.0340"
"Qatar","5.1000","105684","2979.9150"
"Bosnia and Herzegovina","5.1000","185557","3249.3170"
"Croatia","5.1000","205541","4059.2860"
"Slovakia","5.1000","268516","5460.1930"
"Austria","5.1000","415916","9066.7100"
"Hungary","5.1000","493783","9606.2590"
"United Arab Emirates","5.1000","444016","10081.7850"
"Poland","5.1000","1878988","37739.7850"
"Italy","5.1000","3049986","60262.7700"
"Luxembourg","5","26350","642.3710"
"Armenia","5","142712","2971.9660"
"Uruguay","5","158005","3496.0160"
"Georgia","5","189241","3968.7380"
"Kuwait","5","181756","4380.3260"
"Denmark","5","267213","5834.9500"
"Serbia","5","419302","8653.0160"
"Switzerland","5","388870","8773.6370"
"Romania","5","931842","19031.3350"
"Chile","5","844253","19250.1950"
"Saint Vincent and the Grenadines","4.9000","5144","111.5510"
"Saint Lucia","4.9000","8892","185.1130"
"Cape Verde","4.9000","24240","567.6780"
