"country","hourlyMinimalWageEarnings","annualMinimalWageEarnings","pop2022"
"Luxembourg","13.7800","28603.9100","642.3710"
"Australia","12.1400","23975.6100","26068.7920"
"France","11.6600","20903.3300","65584.5180"
"New Zealand","11.2000","20932.4500","4898.2030"
"Germany","10.8700","22097.8600","83883.5960"
"Netherlands","10.4400","23520.5600","17211.4470"
"Belgium","10.3800","22133.3700","11668.2780"
"United Kingdom","10.3400","20053.0900","68497.9070"
"Ireland","9.6200","23447.0400","5020.1990"
"Canada","9.5200","20643.4100","38388.4190"
"Israel","7.9400","17713.1200","8922.8920"
"United States","7.2500","15080","334805.2690"
"South Korea","6.8400","19880.7500","51329.8990"
"Spain","5.8300","14289.7600","46719.1420"
"Portugal","5.7600","9584.7200","10140.5700"
"Slovenia","5.7200","15269.8700","2078.0340"
"Czech Republic","5.1700","10342.4400","10736.7840"
"Greece","4.9800","12128","10316.6370"
"Lithuania","4.7800","9365.1400","2661.7080"
"Latvia","4.3000","8969.7900","1848.8370"
"Slovakia","3.4300","10518.3900","5460.1930"
"Estonia","3.4000","7082.2700","1321.9100"
"Costa Rica","3.3700","9132.3000","5182.3540"
"Poland","3.3500","13214.8800","37739.7850"
"Hungary","2.9000","10669.4400","9606.2590"
"Colombia","2.6600","7768.4500","51512.7620"
"Russia","2.2700","4734.2400","145805.9470"
"Chile","2.2500","7319.5300","19250.1950"
"Brazil","2.1800","5114.2800","215353.5930"
"Turkey","1.9300","4516.2000","85561.9760"
"Mexico","1.0500","1193.7800","131562.7720"
