Codi_Capitol,Text_Capitol,Codi_Article,Text_Article,Codi_Concepte,Text_Concepte,Codi_Subconcepte,Text_Subconcepte,Codi_Organic,Text_Organic,Codi_Arees,Text_Arees,Codi_Politica,Text_Politica,Codi_Grup_de_programes,Text_Grup_de_programes,Codi_Programes,Text_Programes,Codi_Subprogrames,Text_Subprogrames,CREDIT_INICIAL,MODIF_CREDIT,CREDIT_DEFINITIU,AUTORITZAT,DISPOSAT,OBLIGAT,PAG_EFECTUAT,OBLIG_PENDENT_PAG
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10000,Retribucions bàsiques òrgans govern,705,GERÈNCIA DE RECURSOS,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,3019180.76,-95385.8,2923794.96,2923794.96,2923794.96,2923794.96,2923794.96,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,601,CIUTAT VELLA,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,286950.02,35250.04,322200.06,322200.06,322200.06,322200.06,322200.06,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,602,EIXAMPLE,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,322200.06,35150.96,357351.02,357351.02,357351.02,357351.02,357351.02,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,603,SANTS-MONTJUÏC,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,322200.06,30451.75,352651.81,352651.81,352651.81,352651.81,352651.81,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,604,LES CORTS,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,317250.08,53485.17,370735.25,370735.25,370735.25,370735.25,370735.25,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,605,SARRIÀ-SANT GERVASI,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,322200.06,45455.27,367655.33,367655.33,367655.33,367655.33,367655.33,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,605,SARRIÀ-SANT GERVASI,9,Actuacions de caràcter general,92,Serveis de caràcter general,920,Administració general,9201,Direcció i administració generals,92011,Administració general,0,-4724.54,-4724.54,-4724.54,-4724.54,-4724.54,-4724.54,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,606,GRÀCIA,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,286950.02,-1448.84,285501.18,285501.18,285501.18,285501.18,285501.18,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,607,HORTA-GUINARDÓ,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,369200.02,44922.98,414123,414123,414123,414123,414123,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,608,NOU BARRIS,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,416199.98,-35198.79,381001.19,381001.19,381001.19,381001.19,381001.19,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,609,SANT ANDREU,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,346884.54,54604.66,401489.2,401489.2,401489.2,401489.2,401489.2,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,100,RET.BASIQUES I ALTRES ÒRGANS GOVERN,10001,Retribucions òrgans govern assimilats,610,SANT MARTÍ,9,Actuacions de caràcter general,91,Òrgans de govern,912,Òrgans de govern,9121,Òrgans de govern,91211,Representacio política,357450.1,-13043.35,344406.75,344406.75,344406.75,344406.75,344406.75,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,100,GERÈNCIA MUNICIPAL,9,Actuacions de caràcter general,92,Serveis de caràcter general,920,Administració general,9201,Direcció i administració generals,92011,Administració general,244086.34,171771.46,415857.8,415857.8,415857.8,415857.8,415857.8,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,100,GERÈNCIA MUNICIPAL,9,Actuacions de caràcter general,92,Serveis de caràcter general,923,Informació bàsica i estadística,9232,Estadístiques i estudis municipals,92321,Anàlisi i programació,78151.64,778.46,78930.1,78930.1,78930.1,78930.1,78930.1,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,106,GERÈNCIA COORDINACIÓ TERRITORIAL I PROXI,9,Actuacions de caràcter general,92,Serveis de caràcter general,920,Administració general,9201,Direcció i administració generals,92011,Administració general,105422.24,6643.16,112065.4,112065.4,112065.4,112065.4,112065.4,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,2,Actuacions de protecció i promoció social,23,Serveis socials i promoció social,230,Administració general de serveis socials,2301,Administració general de serveis socials,23011,Direcció i administració de serveis soci,403108.5,152555.67,555664.17,555664.17,555664.17,555664.17,555664.17,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,2,Actuacions de protecció i promoció social,23,Serveis socials i promoció social,231,Asistencia social primària,2316,Atenció a la immigració i a refugiats,23161,Acollida i acompanyament d’immigrants,0,74180.22,74180.22,74180.22,74180.22,74180.22,74180.22,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,2,Actuacions de protecció i promoció social,23,Serveis socials i promoció social,232,Promoció social,2324,Promoció de les dones,23241,Promoció de les dones,0,61362.59,61362.59,61362.59,61362.59,61362.59,61362.59,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,2,Actuacions de protecció i promoció social,23,Serveis socials i promoció social,232,Promoció social,2326,Promoció social de la immigració,23261,Promoció de la convivència i intercultur,0,68027.3,68027.3,68027.3,68027.3,68027.3,68027.3,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,4,Actuacions de caràcter econòmic,43,Comerç. turisme i petites i mitjanes empreses,430,Administració general de comerç. turisme i pimes,4301,Administració general d'acció econòmica,43011,Administració i gerència de Presidència,66693.52,-66693.52,0,0,0,0,0,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,200,GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN,9,Actuacions de caràcter general,92,Serveis de caràcter general,920,Administració general,9201,Direcció i administració generals,92011,Administració general,81994.52,-81994.52,0,0,0,0,0,0
1,DESPESES DE PERSONAL,10,ÒRGANS DE GOVERN I PERSONAL DIRECTIU,101,RET. BASIQUES I ALTRES REM. PERSONAL DIR,10100,Retribucions bàsiques personal directiu,202,GERÈNCIA DE L'HABITATGE,2,Actuacions de protecció i promoció social,23,Serveis socials i promoció social,230,Administració general de serveis socials,2301,Administració general de serveis socials,23011,Direcció i administració de serveis soci,86797.48,1736,88533.48,88533.48,88533.48,88533.48,88533.48,0
