Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Coruña, A: Población por municipios y sexo. 
Unidades: Personas
;Total;
;2021;
15001 Abegondo;5.494;
15002 Ames;31.993;
15003 Aranga;1.833;
15004 Ares;5.997;
15005 Arteixo;32.894;
15006 Arzúa;5.964;
15007 Baña, A;3.389;
15008 Bergondo;6.817;
15009 Betanzos;13.030;
15010 Boimorto;1.943;
15011 Boiro;18.955;
15012 Boqueixón;4.186;
15013 Brión;7.957;
15014 Cabana de Bergantiños;4.185;
15015 Cabanas;3.359;
15016 Camariñas;5.224;
15017 Cambre;24.616;
15018 Capela, A;1.242;
15019 Carballo;31.414;
15901 Cariño;3.763;
15020 Carnota;3.854;
15021 Carral;6.574;
15022 Cedeira;6.650;
15023 Cee;7.568;
15024 Cerceda;4.996;
15025 Cerdido;1.075;
15026 Cesuras;"";
15027 Coirós;1.873;
15028 Corcubión;1.606;
15029 Coristanco;5.878;
15030 Coruña, A;245.468;
15031 Culleredo;30.758;
15032 Curtis;4.081;
15033 Dodro;2.710;
15034 Dumbría;2.927;
15035 Fene;12.832;
15036 Ferrol;64.785;
15037 Fisterra;4.714;
15038 Frades;2.306;
15039 Irixoa;1.340;
15041 Laracha, A;11.521;
15040 Laxe;3.004;
15042 Lousame;3.235;
15043 Malpica de Bergantiños;5.332;
15044 Mañón;1.309;
15045 Mazaricos;3.806;
15046 Melide;7.427;
15047 Mesía;2.479;
15048 Miño;6.423;
15049 Moeche;1.200;
15050 Monfero;1.908;
15051 Mugardos;5.226;
15053 Muros;8.399;
15052 Muxía;4.564;
15054 Narón;38.913;
15055 Neda;5.032;
15056 Negreira;6.775;
15057 Noia;14.240;
15058 Oleiros;36.922;
15059 Ordes;12.605;
15060 Oroso;7.530;
15061 Ortigueira;5.485;
15062 Outes;6.150;
15063 Oza dos Ríos;"";
15902 Oza-Cesuras;5.170;
15064 Paderne;2.393;
15065 Padrón;8.317;
15066 Pino, O;4.639;
15067 Pobra do Caramiñal, A;9.291;
15068 Ponteceso;5.457;
15069 Pontedeume;7.687;
15070 Pontes de García Rodríguez, As;10.032;
15071 Porto do Son;9.155;
15072 Rianxo;11.004;
15073 Ribeira;26.839;
15074 Rois;4.493;
15075 Sada;16.382;
15076 San Sadurniño;2.812;
15077 Santa Comba;9.359;
15078 Santiago de Compostela;97.858;
15079 Santiso;1.529;
15080 Sobrado;1.778;
15081 Somozas, As;1.076;
15082 Teo;18.778;
15083 Toques;1.101;
15084 Tordoia;3.228;
15085 Touro;3.495;
15086 Trazo;3.059;
15088 Val do Dubra;3.816;
15087 Valdoviño;6.872;
15089 Vedra;5.032;
15091 Vilarmaior;1.219;
15090 Vilasantar;1.219;
15092 Vimianzo;6.925;
15093 Zas;4.384;
Notas:
Si en la serie de datos en algún año no existe población es porque a la fecha de referencia no existía el municipio.
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
