Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Lugo: Población por municipios y sexo. 
Unidades: Personas
;Total;
;2021;
27001 Abadín;2.297;
27002 Alfoz;1.610;
27003 Antas de Ulla;1.935;
27004 Baleira;1.190;
27901 Baralla;2.445;
27005 Barreiros;3.001;
27006 Becerreá;2.826;
27007 Begonte;2.976;
27008 Bóveda;1.407;
27902 Burela;9.428;
27009 Carballedo;2.123;
27010 Castro de Rei;5.110;
27011 Castroverde;2.609;
27012 Cervantes;1.288;
27013 Cervo;4.192;
27016 Chantada;8.134;
27014 Corgo, O;3.440;
27015 Cospeito;4.374;
27017 Folgoso do Courel;989;
27018 Fonsagrada, A;3.328;
27019 Foz;10.078;
27020 Friol;3.682;
27022 Guitiriz;5.455;
27023 Guntín;2.638;
27024 Incio, O;1.521;
27026 Láncara;2.551;
27027 Lourenzá;2.129;
27028 Lugo;97.613;
27029 Meira;1.731;
27030 Mondoñedo;3.480;
27031 Monforte de Lemos;18.242;
27032 Monterroso;3.562;
27033 Muras;611;
27034 Navia de Suarna;1.041;
27035 Negueira de Muñiz;223;
27037 Nogais, As;1.018;
27038 Ourol;984;
27039 Outeiro de Rei;5.216;
27040 Palas de Rei;3.316;
27041 Pantón;2.429;
27042 Paradela;1.723;
27043 Páramo, O;1.347;
27044 Pastoriza, A;2.918;
27045 Pedrafita do Cebreiro;943;
27047 Pobra do Brollón, A;1.615;
27046 Pol;1.634;
27048 Pontenova, A;2.207;
27049 Portomarín;1.382;
27050 Quiroga;3.151;
27056 Rábade;1.524;
27051 Ribadeo;9.871;
27052 Ribas de Sil;946;
27053 Ribeira de Piquín;513;
27054 Riotorto;1.213;
27055 Samos;1.222;
27057 Sarria;13.257;
27058 Saviñao, O;3.589;
27059 Sober;2.243;
27060 Taboada;2.689;
27061 Trabada;1.114;
27062 Triacastela;627;
27063 Valadouro, O;1.960;
27064 Vicedo, O;1.657;
27065 Vilalba;14.006;
27066 Viveiro;15.312;
27021 Xermade;1.768;
27025 Xove;3.360;
Notas:
Si en la serie de datos en algún año no existe población es porque a la fecha de referencia no existía el municipio.
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
