Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Ourense: Población por municipios y sexo. 
Unidades: Personas
;Total;
;2021;
32001 Allariz;6.314;
32002 Amoeiro;2.333;
32003 Arnoia, A;952;
32004 Avión;1.738;
32005 Baltar;919;
32006 Bande;1.490;
32007 Baños de Molgas;1.483;
32008 Barbadás;11.022;
32009 Barco de Valdeorras, O;13.384;
32010 Beade;379;
32011 Beariz;971;
32012 Blancos, Os;745;
32013 Boborás;2.206;
32014 Bola, A;1.075;
32015 Bolo, O;828;
32016 Calvos de Randín;717;
32018 Carballeda de Avia;1.249;
32017 Carballeda de Valdeorras;1.460;
32019 Carballiño, O;13.911;
32020 Cartelle;2.570;
32022 Castrelo de Miño;1.321;
32021 Castrelo do Val;979;
32023 Castro Caldelas;1.182;
32024 Celanova;5.652;
32025 Cenlle;1.094;
32029 Chandrexa de Queixa;482;
32026 Coles;3.125;
32027 Cortegada;1.061;
32028 Cualedro;1.639;
32030 Entrimo;1.128;
32031 Esgos;1.109;
32033 Gomesende;693;
32034 Gudiña, A;1.232;
32035 Irixo, O;1.401;
32038 Larouco;427;
32039 Laza;1.222;
32040 Leiro;1.510;
32041 Lobeira;769;
32042 Lobios;1.672;
32043 Maceda;2.849;
32044 Manzaneda;846;
32045 Maside;2.718;
32046 Melón;1.135;
32047 Merca, A;1.939;
32048 Mezquita, A;1.006;
32049 Montederramo;705;
32050 Monterrei;2.501;
32051 Muíños;1.447;
32052 Nogueira de Ramuín;2.067;
32053 Oímbra;1.713;
32054 Ourense;104.596;
32055 Paderne de Allariz;1.373;
32056 Padrenda;1.653;
32057 Parada de Sil;544;
32058 Pereiro de Aguiar, O;6.470;
32059 Peroxa, A;1.826;
32060 Petín;879;
32061 Piñor;1.162;
32063 Pobra de Trives, A;2.015;
32064 Pontedeva;491;
32062 Porqueira;827;
32065 Punxín;704;
32066 Quintela de Leirado;614;
32067 Rairiz de Veiga;1.223;
32068 Ramirás;1.507;
32069 Ribadavia;5.005;
32071 Riós;1.459;
32072 Rúa, A;4.245;
32073 Rubiá;1.390;
32074 San Amaro;1.048;
32075 San Cibrao das Viñas;5.509;
32076 San Cristovo de Cea;2.072;
32070 San Xoán de Río;505;
32077 Sandiás;1.181;
32078 Sarreaus;1.114;
32079 Taboadela;1.452;
32080 Teixeira, A;336;
32081 Toén;2.374;
32082 Trasmiras;1.261;
32083 Veiga, A;886;
32084 Verea;914;
32085 Verín;13.644;
32086 Viana do Bolo;2.787;
32087 Vilamarín;1.882;
32088 Vilamartín de Valdeorras;1.837;
32089 Vilar de Barrio;1.258;
32090 Vilar de Santos;791;
32091 Vilardevós;1.781;
32092 Vilariño de Conso;513;
32032 Xinzo de Limia;9.621;
32036 Xunqueira de Ambía;1.366;
32037 Xunqueira de Espadanedo;738;
Notas:
Si en la serie de datos en algún año no existe población es porque a la fecha de referencia no existía el municipio.
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
