Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Pontevedra: Población por municipios y sexo. 
Unidades: Personas
;Total;
;2021;
36020 Agolada;2.228;
36001 Arbo;2.599;
36003 Baiona;12.286;
36002 Barro;3.622;
36004 Bueu;11.987;
36005 Caldas de Reis;9.788;
36006 Cambados;13.673;
36007 Campo Lameiro;1.769;
36008 Cangas;26.708;
36009 Cañiza, A;5.115;
36010 Catoira;3.316;
36011 Cerdedo;"";
36902 Cerdedo-Cotobade;5.719;
36012 Cotobade;"";
36013 Covelo;2.455;
36014 Crecente;1.961;
36015 Cuntis;4.643;
36016 Dozón;1.057;
36017 Estrada, A;20.261;
36018 Forcarei;3.268;
36019 Fornelos de Montes;1.594;
36021 Gondomar;14.920;
36022 Grove, O;10.699;
36023 Guarda, A;9.991;
36901 Illa de Arousa, A;4.951;
36024 Lalín;20.199;
36025 Lama, A;2.410;
36026 Marín;24.248;
36027 Meaño;5.314;
36028 Meis;4.796;
36029 Moaña;19.496;
36030 Mondariz;4.394;
36031 Mondariz-Balneario;675;
36032 Moraña;4.121;
36033 Mos;15.190;
36034 Neves, As;3.770;
36035 Nigrán;18.005;
36036 Oia;3.104;
36037 Pazos de Borbén;2.975;
36041 Poio;17.230;
36043 Ponte Caldelas;5.548;
36042 Ponteareas;22.942;
36044 Pontecesures;3.081;
36038 Pontevedra;83.114;
36039 Porriño, O;20.212;
36040 Portas;2.860;
36045 Redondela;29.192;
36046 Ribadumia;5.157;
36047 Rodeiro;2.361;
36048 Rosal, O;6.376;
36049 Salceda de Caselas;9.249;
36050 Salvaterra de Miño;10.048;
36051 Sanxenxo;17.635;
36052 Silleda;8.845;
36053 Soutomaior;7.482;
36054 Tomiño;13.730;
36055 Tui;17.398;
36056 Valga;5.768;
36057 Vigo;293.837;
36059 Vila de Cruces;5.097;
36058 Vilaboa;5.955;
36060 Vilagarcía de Arousa;37.545;
36061 Vilanova de Arousa;10.306;
Notas:
Si en la serie de datos en algún año no existe población es porque a la fecha de referencia no existía el municipio.
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
