emp_no;salary
10001;88958
10002;72527
10003;43699
10004;74057
10005;94692
10006;60098
10007;88070
10008;52668
10009;94443
10010;80324
10011;56753
10012;54794
10013;68901
10014;60598
10015;40000
10016;77935
10017;99651
10018;84672
10019;50032
10020;47017
10021;84169
10022;41348
10023;50319
10024;96646
10025;57585
10026;66313
10027;46145
10028;58502
10029;77777
10030;88806
10031;56689
10032;69539
10033;60433
10034;53164
10035;68755
10036;63053
10037;60992
10038;64254
10039;63918
10040;72668
10041;81705
10042;95035
10043;77659
10044;58345
10045;47984
10046;62218
10047;81037
10048;40000
10049;51326
10050;97830
10051;64905
10052;67156
10053;78478
10054;53906
10055;90843
10056;74722
10057;68061
10058;72542
10059;94161
10060;93188
10061;97338
10062;68784
10063;74841
10064;48454
10065;47437
10066;103672
10067;83254
10068;113229
10069;86641
10070;96322
10071;53315
10072;64726
10073;56473
10074;80820
10075;67492
10076;62921
10077;54699
10078;54652
10079;67231
10080;72729
10081;79351
10082;48935
10083;77186
10084;93621
10085;60910
10086;96471
10087;102651
10088;98003
10089;77955
10090;75401
10091;60014
10092;66803
10093;82715
10094;85225
10095;80955
10096;68612
10097;70161
10098;56202
10099;98538
10100;74957
10101;66715
10102;61059
10103;80061
10104;81834
10105;61514
10106;82836
10107;101676
10108;45664
10109;52721
10110;92842
10111;57126
10112;61070
10113;75209
10114;64083
10115;47429
10116;48596
10117;75936
10118;55284
10119;62226
10120;59360
10121;66834
10122;48464
10123;92601
10124;58460
10125;69518
10126;77310
10127;63137
10128;67619
10129;56667
10130;73881
10131;48475
10132;69587
10133;83921
10134;69194
10135;61301
10136;105565
10137;68061
10138;74875
10139;50398
10140;76604
10141;70861
10142;58003
10143;70351
10144;74378
10145;47662
10146;62454
10147;73690
10148;70400
10149;97077
10150;100182
10151;109501
10152;44322
10153;61594
10154;50766
10155;66666
10156;71859
10157;56615
10158;68624
10159;56651
10160;102165
10161;49990
10162;47464
10163;67661
10164;72497
10165;79095
10166;65632
10167;75230
10168;76290
10169;78611
10170;53825
10171;57160
10172;42646
10173;109964
10174;92117
10175;83277
10176;71610
10177;52019
10178;61185
10179;43325
10180;65388
10181;78684
10182;67049
10183;51873
10184;57547
10185;104747
10186;40000
10187;90645
10188;83455
10189;41222
10190;65625
10191;59946
10192;75141
10193;57200
10194;79131
10195;81013
10196;92885
10197;61807
10198;69268
10199;46867
10200;57361
10201;57425
10202;69727
10203;62458
10204;40000
10205;55157
10206;71052
10207;69959
10208;70971
10209;70970
10210;42890
10211;64400
10212;78952
10213;50786
10214;75338
10215;56694
10216;65714
10217;61585
10218;54070
10219;61354
10220;69036
